,1231
2016-01-01 00:00:00,938.0
2016-01-01 01:00:00,830.0
2016-01-01 02:00:00,739.0
2016-01-01 03:00:00,771.0
2016-01-01 04:00:00,560.0
2016-01-01 05:00:00,302.0
2016-01-01 06:00:00,182.0
2016-01-01 07:00:00,157.0
2016-01-01 08:00:00,134.0
2016-01-01 09:00:00,204.0
2016-01-01 10:00:00,341.0
2016-01-01 11:00:00,572.0
2016-01-01 12:00:00,638.0
2016-01-01 13:00:00,681.0
2016-01-01 14:00:00,727.0
2016-01-01 15:00:00,762.0
2016-01-01 16:00:00,704.0
2016-01-01 17:00:00,768.0
2016-01-01 18:00:00,782.0
2016-01-01 19:00:00,795.0
2016-01-01 20:00:00,651.0
2016-01-01 21:00:00,561.0
2016-01-01 22:00:00,652.0
2016-01-01 23:00:00,562.0
2016-01-02 00:00:00,494.0
2016-01-02 01:00:00,348.0
2016-01-02 02:00:00,260.0
2016-01-02 03:00:00,189.0
2016-01-02 04:00:00,166.0
2016-01-02 05:00:00,99.0
2016-01-02 06:00:00,101.0
2016-01-02 07:00:00,115.0
2016-01-02 08:00:00,167.0
2016-01-02 09:00:00,362.0
2016-01-02 10:00:00,558.0
2016-01-02 11:00:00,781.0
2016-01-02 12:00:00,878.0
2016-01-02 13:00:00,954.0
2016-01-02 14:00:00,851.0
2016-01-02 15:00:00,878.0
2016-01-02 16:00:00,805.0
2016-01-02 17:00:00,858.0
2016-01-02 18:00:00,866.0
2016-01-02 19:00:00,941.0
2016-01-02 20:00:00,740.0
2016-01-02 21:00:00,714.0
2016-01-02 22:00:00,818.0
2016-01-02 23:00:00,797.0
2016-01-03 00:00:00,742.0
2016-01-03 01:00:00,579.0
2016-01-03 02:00:00,356.0
2016-01-03 03:00:00,316.0
2016-01-03 04:00:00,289.0
2016-01-03 05:00:00,138.0
2016-01-03 06:00:00,115.0
2016-01-03 07:00:00,112.0
2016-01-03 08:00:00,158.0
2016-01-03 09:00:00,238.0
2016-01-03 10:00:00,420.0
2016-01-03 11:00:00,597.0
2016-01-03 12:00:00,762.0
2016-01-03 13:00:00,719.0
2016-01-03 14:00:00,768.0
2016-01-03 15:00:00,663.0
2016-01-03 16:00:00,687.0
2016-01-03 17:00:00,799.0
2016-01-03 18:00:00,818.0
2016-01-03 19:00:00,704.0
2016-01-03 20:00:00,564.0
2016-01-03 21:00:00,438.0
2016-01-03 22:00:00,366.0
2016-01-03 23:00:00,255.0
2016-01-04 00:00:00,177.0
2016-01-04 01:00:00,108.0
2016-01-04 02:00:00,68.0
2016-01-04 03:00:00,57.0
2016-01-04 04:00:00,60.0
2016-01-04 05:00:00,112.0
2016-01-04 06:00:00,281.0
2016-01-04 07:00:00,391.0
2016-01-04 08:00:00,661.0
2016-01-04 09:00:00,692.0
2016-01-04 10:00:00,583.0
2016-01-04 11:00:00,654.0
2016-01-04 12:00:00,735.0
2016-01-04 13:00:00,672.0
2016-01-04 14:00:00,778.0
2016-01-04 15:00:00,754.0
2016-01-04 16:00:00,787.0
2016-01-04 17:00:00,954.0
2016-01-04 18:00:00,1121.0
2016-01-04 19:00:00,1150.0
2016-01-04 20:00:00,997.0
2016-01-04 21:00:00,822.0
2016-01-04 22:00:00,609.0
2016-01-04 23:00:00,395.0
2016-01-05 00:00:00,270.0
2016-01-05 01:00:00,144.0
2016-01-05 02:00:00,102.0
2016-01-05 03:00:00,54.0
2016-01-05 04:00:00,74.0
2016-01-05 05:00:00,99.0
2016-01-05 06:00:00,335.0
2016-01-05 07:00:00,467.0
2016-01-05 08:00:00,684.0
2016-01-05 09:00:00,829.0
2016-01-05 10:00:00,745.0
2016-01-05 11:00:00,833.0
2016-01-05 12:00:00,867.0
2016-01-05 13:00:00,898.0
2016-01-05 14:00:00,919.0
2016-01-05 15:00:00,940.0
2016-01-05 16:00:00,806.0
