,1231
2016-05-01 00:00:00,881.0
2016-05-01 01:00:00,713.0
2016-05-01 02:00:00,533.0
2016-05-01 03:00:00,418.0
2016-05-01 04:00:00,353.0
2016-05-01 05:00:00,151.0
2016-05-01 06:00:00,147.0
2016-05-01 07:00:00,158.0
2016-05-01 08:00:00,256.0
2016-05-01 09:00:00,340.0
2016-05-01 10:00:00,563.0
2016-05-01 11:00:00,756.0
2016-05-01 12:00:00,819.0
2016-05-01 13:00:00,756.0
2016-05-01 14:00:00,766.0
2016-05-01 15:00:00,801.0
2016-05-01 16:00:00,779.0
2016-05-01 17:00:00,822.0
2016-05-01 18:00:00,926.0
2016-05-01 19:00:00,820.0
2016-05-01 20:00:00,698.0
2016-05-01 21:00:00,565.0
2016-05-01 22:00:00,394.0
2016-05-01 23:00:00,436.0
2016-05-02 00:00:00,266.0
2016-05-02 01:00:00,129.0
2016-05-02 02:00:00,86.0
2016-05-02 03:00:00,50.0
2016-05-02 04:00:00,92.0
2016-05-02 05:00:00,126.0
2016-05-02 06:00:00,302.0
2016-05-02 07:00:00,528.0
2016-05-02 08:00:00,822.0
2016-05-02 09:00:00,944.0
2016-05-02 10:00:00,793.0
2016-05-02 11:00:00,834.0
2016-05-02 12:00:00,894.0
2016-05-02 13:00:00,934.0
2016-05-02 14:00:00,972.0
2016-05-02 15:00:00,945.0
2016-05-02 16:00:00,877.0
2016-05-02 17:00:00,1040.0
2016-05-02 18:00:00,1275.0
2016-05-02 19:00:00,1297.0
2016-05-02 20:00:00,1254.0
2016-05-02 21:00:00,1090.0
2016-05-02 22:00:00,934.0
2016-05-02 23:00:00,794.0
2016-05-03 00:00:00,556.0
2016-05-03 01:00:00,259.0
2016-05-03 02:00:00,128.0
2016-05-03 03:00:00,66.0
2016-05-03 04:00:00,104.0
2016-05-03 05:00:00,162.0
2016-05-03 06:00:00,394.0
2016-05-03 07:00:00,630.0
2016-05-03 08:00:00,1017.0
2016-05-03 09:00:00,1019.0
2016-05-03 10:00:00,1012.0
2016-05-03 11:00:00,1008.0
2016-05-03 12:00:00,970.0
2016-05-03 13:00:00,1050.0
2016-05-03 14:00:00,1039.0
2016-05-03 15:00:00,982.0
2016-05-03 16:00:00,798.0
2016-05-03 17:00:00,917.0
2016-05-03 18:00:00,1042.0
2016-05-03 19:00:00,1241.0
2016-05-03 20:00:00,1316.0
2016-05-03 21:00:00,1153.0
2016-05-03 22:00:00,940.0
2016-05-03 23:00:00,755.0
2016-05-04 00:00:00,415.0
2016-05-04 01:00:00,245.0
2016-05-04 02:00:00,116.0
2016-05-04 03:00:00,110.0
2016-05-04 04:00:00,97.0
2016-05-04 05:00:00,142.0
2016-05-04 06:00:00,350.0
2016-05-04 07:00:00,638.0
2016-05-04 08:00:00,968.0
2016-05-04 09:00:00,1074.0
2016-05-04 10:00:00,1002.0
2016-05-04 11:00:00,1055.0
2016-05-04 12:00:00,1134.0
2016-05-04 13:00:00,1182.0
2016-05-04 14:00:00,1108.0
2016-05-04 15:00:00,825.0
2016-05-04 16:00:00,633.0
2016-05-04 17:00:00,685.0
2016-05-04 18:00:00,860.0
2016-05-04 19:00:00,1050.0
2016-05-04 20:00:00,1318.0
2016-05-04 21:00:00,1139.0
2016-05-04 22:00:00,1003.0
2016-05-04 23:00:00,862.0
2016-05-05 00:00:00,536.0
2016-05-05 01:00:00,278.0
2016-05-05 02:00:00,180.0
2016-05-05 03:00:00,110.0
2016-05-05 04:00:00,95.0
2016-05-05 05:00:00,175.0
2016-05-05 06:00:00,370.0
2016-05-05 07:00:00,609.0
2016-05-05 08:00:00,931.0
2016-05-05 09:00:00,1070.0
2016-05-05 10:00:00,1025.0
2016-05-05 11:00:00,1058.0
2016-05-05 12:00:00,1072.0
2016-05-05 13:00:00,1079.0
2016-05-05 14:00:00,1067.0
2016-05-05 15:00:00,866.0
2016-05-05 16:00:00,676.0
2016-05-05 17:00:00,639.0
2016-05-05 18:00:00,846.0
2016-05-05 19:00:00,951.0
2016-05-05 20:00:00,1018.0
2016-05-05 21:00:00,848.0
2016-05-05 22:00:00,641.0
2016-05-05 23:00:00,776.0
2016-05-06 00:00:00,661.0
2016-05-06 01:00:00,442.0
2016-05-06 02:00:00,261.0
2016-05-06 03:00:00,180.0
2016-05-06 04:00:00,141.0
2016-05-06 05:00:00,199.0
2016-05-06 06:00:00,438.0
2016-05-06 07:00:00,678.0
2016-05-06 08:00:00,973.0
2016-05-06 09:00:00,951.0
2016-05-06 10:00:00,907.0
2016-05-06 11:00:00,791.0
2016-05-06 12:00:00,745.0
2016-05-06 13:00:00,719.0
2016-05-06 14:00:00,797.0
2016-05-06 15:00:00,708.0
2016-05-06 16:00:00,526.0
2016-05-06 17:00:00,646.0
2016-05-06 18:00:00,841.0
2016-05-06 19:00:00,897.0
2016-05-06 20:00:00,1103.0
2016-05-06 21:00:00,1047.0
2016-05-06 22:00:00,985.0
2016-05-06 23:00:00,836.0
2016-05-07 00:00:00,736.0
2016-05-07 01:00:00,556.0
2016-05-07 02:00:00,386.0
2016-05-07 03:00:00,325.0
2016-05-07 04:00:00,267.0
2016-05-07 05:00:00,122.0
2016-05-07 06:00:00,160.0
2016-05-07 07:00:00,204.0
2016-05-07 08:00:00,301.0
2016-05-07 09:00:00,523.0
2016-05-07 10:00:00,667.0
2016-05-07 11:00:00,816.0
2016-05-07 12:00:00,873.0
2016-05-07 13:00:00,845.0
2016-05-07 14:00:00,798.0
2016-05-07 15:00:00,864.0
2016-05-07 16:00:00,765.0
2016-05-07 17:00:00,836.0
2016-05-07 18:00:00,893.0
2016-05-07 19:00:00,1019.0
2016-05-07 20:00:00,866.0
2016-05-07 21:00:00,797.0
2016-05-07 22:00:00,979.0
2016-05-07 23:00:00,920.0
2016-05-08 00:00:00,825.0
2016-05-08 01:00:00,630.0
2016-05-08 02:00:00,471.0
2016-05-08 03:00:00,335.0
2016-05-08 04:00:00,282.0
2016-05-08 05:00:00,126.0
2016-05-08 06:00:00,113.0
2016-05-08 07:00:00,198.0
2016-05-08 08:00:00,252.0
2016-05-08 09:00:00,380.0
2016-05-08 10:00:00,559.0
2016-05-08 11:00:00,653.0
2016-05-08 12:00:00,732.0
2016-05-08 13:00:00,719.0
2016-05-08 14:00:00,712.0
2016-05-08 15:00:00,699.0
2016-05-08 16:00:00,669.0
2016-05-08 17:00:00,787.0
2016-05-08 18:00:00,863.0
2016-05-08 19:00:00,851.0
2016-05-08 20:00:00,812.0
