,1231
2016-06-01 00:00:00,435.0
2016-06-01 01:00:00,211.0
2016-06-01 02:00:00,124.0
2016-06-01 03:00:00,95.0
2016-06-01 04:00:00,83.0
2016-06-01 05:00:00,137.0
2016-06-01 06:00:00,328.0
2016-06-01 07:00:00,536.0
2016-06-01 08:00:00,801.0
2016-06-01 09:00:00,867.0
2016-06-01 10:00:00,889.0
2016-06-01 11:00:00,983.0
2016-06-01 12:00:00,940.0
2016-06-01 13:00:00,930.0
2016-06-01 14:00:00,983.0
2016-06-01 15:00:00,784.0
2016-06-01 16:00:00,675.0
2016-06-01 17:00:00,639.0
2016-06-01 18:00:00,870.0
2016-06-01 19:00:00,1089.0
2016-06-01 20:00:00,1244.0
2016-06-01 21:00:00,1159.0
2016-06-01 22:00:00,997.0
2016-06-01 23:00:00,782.0
2016-06-02 00:00:00,543.0
2016-06-02 01:00:00,292.0
2016-06-02 02:00:00,145.0
2016-06-02 03:00:00,97.0
2016-06-02 04:00:00,100.0
2016-06-02 05:00:00,136.0
2016-06-02 06:00:00,324.0
2016-06-02 07:00:00,586.0
2016-06-02 08:00:00,857.0
2016-06-02 09:00:00,885.0
2016-06-02 10:00:00,898.0
2016-06-02 11:00:00,1011.0
2016-06-02 12:00:00,1056.0
2016-06-02 13:00:00,962.0
2016-06-02 14:00:00,979.0
2016-06-02 15:00:00,835.0
2016-06-02 16:00:00,615.0
2016-06-02 17:00:00,595.0
2016-06-02 18:00:00,869.0
2016-06-02 19:00:00,1046.0
2016-06-02 20:00:00,1110.0
2016-06-02 21:00:00,986.0
2016-06-02 22:00:00,896.0
2016-06-02 23:00:00,1022.0
2016-06-03 00:00:00,711.0
2016-06-03 01:00:00,369.0
2016-06-03 02:00:00,267.0
2016-06-03 03:00:00,148.0
2016-06-03 04:00:00,177.0
2016-06-03 05:00:00,171.0
2016-06-03 06:00:00,345.0
2016-06-03 07:00:00,626.0
2016-06-03 08:00:00,883.0
2016-06-03 09:00:00,867.0
2016-06-03 10:00:00,796.0
2016-06-03 11:00:00,838.0
2016-06-03 12:00:00,868.0
2016-06-03 13:00:00,825.0
2016-06-03 14:00:00,717.0
2016-06-03 15:00:00,613.0
2016-06-03 16:00:00,502.0
2016-06-03 17:00:00,634.0
2016-06-03 18:00:00,928.0
2016-06-03 19:00:00,1160.0
2016-06-03 20:00:00,982.0
2016-06-03 21:00:00,984.0
2016-06-03 22:00:00,862.0
2016-06-03 23:00:00,860.0
2016-06-04 00:00:00,773.0
2016-06-04 01:00:00,570.0
2016-06-04 02:00:00,409.0
2016-06-04 03:00:00,354.0
2016-06-04 04:00:00,287.0
2016-06-04 05:00:00,153.0
2016-06-04 06:00:00,165.0
2016-06-04 07:00:00,253.0
2016-06-04 08:00:00,344.0
2016-06-04 09:00:00,461.0
2016-06-04 10:00:00,643.0
2016-06-04 11:00:00,792.0
2016-06-04 12:00:00,798.0
2016-06-04 13:00:00,827.0
2016-06-04 14:00:00,846.0
2016-06-04 15:00:00,780.0
2016-06-04 16:00:00,616.0
2016-06-04 17:00:00,629.0
2016-06-04 18:00:00,795.0
2016-06-04 19:00:00,728.0
2016-06-04 20:00:00,794.0
2016-06-04 21:00:00,772.0
2016-06-04 22:00:00,821.0
2016-06-04 23:00:00,806.0
2016-06-05 00:00:00,743.0
2016-06-05 01:00:00,702.0
2016-06-05 02:00:00,442.0
2016-06-05 03:00:00,339.0
2016-06-05 04:00:00,312.0
2016-06-05 05:00:00,146.0
2016-06-05 06:00:00,139.0
2016-06-05 07:00:00,174.0
2016-06-05 08:00:00,269.0
2016-06-05 09:00:00,319.0
2016-06-05 10:00:00,463.0
2016-06-05 11:00:00,542.0
2016-06-05 12:00:00,446.0
2016-06-05 13:00:00,458.0
2016-06-05 14:00:00,431.0
2016-06-05 15:00:00,579.0
2016-06-05 16:00:00,569.0
2016-06-05 17:00:00,709.0
2016-06-05 18:00:00,802.0
2016-06-05 19:00:00,723.0
2016-06-05 20:00:00,526.0
2016-06-05 21:00:00,546.0
2016-06-05 22:00:00,443.0
2016-06-05 23:00:00,384.0
2016-06-06 00:00:00,305.0
2016-06-06 01:00:00,168.0
2016-06-06 02:00:00,93.0
2016-06-06 03:00:00,83.0
2016-06-06 04:00:00,83.0
2016-06-06 05:00:00,124.0
2016-06-06 06:00:00,323.0
2016-06-06 07:00:00,539.0
2016-06-06 08:00:00,791.0
2016-06-06 09:00:00,887.0
2016-06-06 10:00:00,806.0
2016-06-06 11:00:00,917.0
2016-06-06 12:00:00,861.0
2016-06-06 13:00:00,939.0
2016-06-06 14:00:00,944.0
2016-06-06 15:00:00,921.0
2016-06-06 16:00:00,753.0
2016-06-06 17:00:00,934.0
2016-06-06 18:00:00,1137.0
2016-06-06 19:00:00,1159.0
2016-06-06 20:00:00,1077.0
2016-06-06 21:00:00,1136.0
2016-06-06 22:00:00,887.0
2016-06-06 23:00:00,621.0
2016-06-07 00:00:00,498.0
2016-06-07 01:00:00,257.0
2016-06-07 02:00:00,124.0
2016-06-07 03:00:00,79.0
2016-06-07 04:00:00,82.0
2016-06-07 05:00:00,129.0
2016-06-07 06:00:00,298.0
2016-06-07 07:00:00,613.0
2016-06-07 08:00:00,886.0
2016-06-07 09:00:00,847.0
2016-06-07 10:00:00,904.0
2016-06-07 11:00:00,990.0
2016-06-07 12:00:00,965.0
2016-06-07 13:00:00,1056.0
2016-06-07 14:00:00,1046.0
2016-06-07 15:00:00,852.0
2016-06-07 16:00:00,562.0
2016-06-07 17:00:00,702.0
2016-06-07 18:00:00,1047.0
2016-06-07 19:00:00,1244.0
2016-06-07 20:00:00,1041.0
2016-06-07 21:00:00,1183.0
2016-06-07 22:00:00,750.0
2016-06-07 23:00:00,761.0
2016-06-08 00:00:00,665.0
2016-06-08 01:00:00,525.0
2016-06-08 02:00:00,140.0
2016-06-08 03:00:00,84.0
2016-06-08 04:00:00,80.0
2016-06-08 05:00:00,123.0
2016-06-08 06:00:00,302.0
2016-06-08 07:00:00,653.0
2016-06-08 08:00:00,934.0
2016-06-08 09:00:00,1001.0
2016-06-08 10:00:00,950.0
2016-06-08 11:00:00,1043.0
2016-06-08 12:00:00,1075.0
2016-06-08 13:00:00,1046.0
2016-06-08 14:00:00,782.0
2016-06-08 15:00:00,595.0
2016-06-08 16:00:00,365.0
2016-06-08 17:00:00,409.0
2016-06-08 18:00:00,594.0
2016-06-08 19:00:00,906.0
2016-06-08 20:00:00,780.0
2016-06-08 21:00:00,868.0
2016-06-08 22:00:00,632.0
2016-06-08 23:00:00,798.0
2016-06-09 00:00:00,796.0
2016-06-09 01:00:00,349.0
2016-06-09 02:00:00,182.0
2016-06-09 03:00:00,110.0
2016-06-09 04:00:00,111.0
2016-06-09 05:00:00,151.0
2016-06-09 06:00:00,315.0
2016-06-09 07:00:00,642.0
2016-06-09 08:00:00,905.0
2016-06-09 09:00:00,968.0
2016-06-09 10:00:00,961.0
2016-06-09 11:00:00,1071.0
2016-06-09 12:00:00,1153.0
2016-06-09 13:00:00,1043.0
2016-06-09 14:00:00,1029.0
2016-06-09 15:00:00,757.0
