,1231
2015-02-01 00:00:00,912.0
2015-02-01 01:00:00,861.0
2015-02-01 02:00:00,588.0
2015-02-01 03:00:00,454.0
2015-02-01 04:00:00,383.0
2015-02-01 05:00:00,154.0
2015-02-01 06:00:00,160.0
2015-02-01 07:00:00,168.0
2015-02-01 08:00:00,359.0
2015-02-01 09:00:00,420.0
2015-02-01 10:00:00,579.0
2015-02-01 11:00:00,744.0
2015-02-01 12:00:00,800.0
2015-02-01 13:00:00,794.0
2015-02-01 14:00:00,783.0
2015-02-01 15:00:00,711.0
2015-02-01 16:00:00,825.0
2015-02-01 17:00:00,751.0
2015-02-01 18:00:00,774.0
2015-02-01 19:00:00,590.0
2015-02-01 20:00:00,565.0
2015-02-01 21:00:00,456.0
2015-02-01 22:00:00,613.0
2015-02-01 23:00:00,491.0
2015-02-02 00:00:00,314.0
2015-02-02 01:00:00,192.0
2015-02-02 02:00:00,118.0
2015-02-02 03:00:00,59.0
2015-02-02 04:00:00,53.0
2015-02-02 05:00:00,101.0
2015-02-02 06:00:00,287.0
2015-02-02 07:00:00,566.0
2015-02-02 08:00:00,854.0
2015-02-02 09:00:00,875.0
2015-02-02 10:00:00,880.0
2015-02-02 11:00:00,888.0
2015-02-02 12:00:00,902.0
2015-02-02 13:00:00,950.0
2015-02-02 14:00:00,941.0
2015-02-02 15:00:00,807.0
2015-02-02 16:00:00,593.0
2015-02-02 17:00:00,689.0
2015-02-02 18:00:00,737.0
2015-02-02 19:00:00,833.0
2015-02-02 20:00:00,785.0
2015-02-02 21:00:00,835.0
2015-02-02 22:00:00,734.0
2015-02-02 23:00:00,648.0
2015-02-03 00:00:00,397.0
2015-02-03 01:00:00,233.0
2015-02-03 02:00:00,109.0
2015-02-03 03:00:00,85.0
2015-02-03 04:00:00,75.0
2015-02-03 05:00:00,134.0
2015-02-03 06:00:00,385.0
2015-02-03 07:00:00,646.0
2015-02-03 08:00:00,1113.0
2015-02-03 09:00:00,1365.0
2015-02-03 10:00:00,1159.0
2015-02-03 11:00:00,1212.0
2015-02-03 12:00:00,1106.0
2015-02-03 13:00:00,1167.0
2015-02-03 14:00:00,1179.0
2015-02-03 15:00:00,1009.0
2015-02-03 16:00:00,794.0
2015-02-03 17:00:00,807.0
2015-02-03 18:00:00,936.0
2015-02-03 19:00:00,971.0
2015-02-03 20:00:00,1248.0
2015-02-03 21:00:00,1079.0
2015-02-03 22:00:00,1036.0
2015-02-03 23:00:00,914.0
2015-02-04 00:00:00,585.0
2015-02-04 01:00:00,270.0
2015-02-04 02:00:00,161.0
2015-02-04 03:00:00,88.0
2015-02-04 04:00:00,115.0
2015-02-04 05:00:00,135.0
2015-02-04 06:00:00,335.0
2015-02-04 07:00:00,661.0
2015-02-04 08:00:00,1112.0
2015-02-04 09:00:00,1309.0
2015-02-04 10:00:00,1149.0
2015-02-04 11:00:00,1158.0
2015-02-04 12:00:00,1214.0
2015-02-04 13:00:00,1170.0
2015-02-04 14:00:00,1175.0
2015-02-04 15:00:00,968.0
2015-02-04 16:00:00,614.0
2015-02-04 17:00:00,594.0
2015-02-04 18:00:00,839.0
2015-02-04 19:00:00,954.0
2015-02-04 20:00:00,1286.0
2015-02-04 21:00:00,1312.0
2015-02-04 22:00:00,1233.0
2015-02-04 23:00:00,1037.0
2015-02-05 00:00:00,667.0
2015-02-05 01:00:00,400.0
2015-02-05 02:00:00,168.0
2015-02-05 03:00:00,122.0
2015-02-05 04:00:00,116.0
2015-02-05 05:00:00,150.0
2015-02-05 06:00:00,359.0
2015-02-05 07:00:00,708.0
2015-02-05 08:00:00,1029.0
2015-02-05 09:00:00,1251.0
2015-02-05 10:00:00,1121.0
2015-02-05 11:00:00,1120.0
2015-02-05 12:00:00,1259.0
2015-02-05 13:00:00,1296.0
2015-02-05 14:00:00,1309.0
2015-02-05 15:00:00,1053.0
2015-02-05 16:00:00,742.0
2015-02-05 17:00:00,732.0
2015-02-05 18:00:00,992.0
2015-02-05 19:00:00,1099.0
2015-02-05 20:00:00,1219.0
2015-02-05 21:00:00,1088.0
2015-02-05 22:00:00,1090.0
2015-02-05 23:00:00,1243.0
2015-02-06 00:00:00,844.0
