,1231
2015-09-01 00:00:00,519.0
2015-09-01 01:00:00,252.0
2015-09-01 02:00:00,121.0
2015-09-01 03:00:00,89.0
2015-09-01 04:00:00,74.0
2015-09-01 05:00:00,129.0
2015-09-01 06:00:00,304.0
2015-09-01 07:00:00,508.0
2015-09-01 08:00:00,827.0
2015-09-01 09:00:00,917.0
2015-09-01 10:00:00,900.0
2015-09-01 11:00:00,992.0
2015-09-01 12:00:00,1113.0
2015-09-01 13:00:00,1021.0
2015-09-01 14:00:00,1057.0
2015-09-01 15:00:00,929.0
2015-09-01 16:00:00,809.0
2015-09-01 17:00:00,835.0
2015-09-01 18:00:00,1168.0
2015-09-01 19:00:00,1262.0
2015-09-01 20:00:00,1225.0
2015-09-01 21:00:00,1238.0
2015-09-01 22:00:00,1052.0
2015-09-01 23:00:00,796.0
2015-09-02 00:00:00,510.0
2015-09-02 01:00:00,275.0
2015-09-02 02:00:00,162.0
2015-09-02 03:00:00,95.0
2015-09-02 04:00:00,95.0
2015-09-02 05:00:00,123.0
2015-09-02 06:00:00,318.0
2015-09-02 07:00:00,537.0
2015-09-02 08:00:00,863.0
2015-09-02 09:00:00,926.0
2015-09-02 10:00:00,902.0
2015-09-02 11:00:00,1067.0
2015-09-02 12:00:00,1114.0
2015-09-02 13:00:00,1047.0
2015-09-02 14:00:00,1084.0
2015-09-02 15:00:00,1027.0
2015-09-02 16:00:00,837.0
2015-09-02 17:00:00,810.0
2015-09-02 18:00:00,1077.0
2015-09-02 19:00:00,1338.0
2015-09-02 20:00:00,1336.0
2015-09-02 21:00:00,1193.0
2015-09-02 22:00:00,1117.0
2015-09-02 23:00:00,894.0
2015-09-03 00:00:00,632.0
2015-09-03 01:00:00,357.0
2015-09-03 02:00:00,202.0
2015-09-03 03:00:00,121.0
2015-09-03 04:00:00,117.0
2015-09-03 05:00:00,133.0
2015-09-03 06:00:00,311.0
2015-09-03 07:00:00,484.0
2015-09-03 08:00:00,826.0
2015-09-03 09:00:00,959.0
2015-09-03 10:00:00,852.0
2015-09-03 11:00:00,960.0
2015-09-03 12:00:00,1060.0
2015-09-03 13:00:00,1019.0
2015-09-03 14:00:00,1052.0
2015-09-03 15:00:00,977.0
2015-09-03 16:00:00,794.0
2015-09-03 17:00:00,718.0
2015-09-03 18:00:00,946.0
2015-09-03 19:00:00,1281.0
2015-09-03 20:00:00,1272.0
2015-09-03 21:00:00,1230.0
