,1231
2015-05-01 00:00:00,841.0
2015-05-01 01:00:00,573.0
2015-05-01 02:00:00,331.0
2015-05-01 03:00:00,205.0
2015-05-01 04:00:00,163.0
2015-05-01 05:00:00,170.0
2015-05-01 06:00:00,372.0
2015-05-01 07:00:00,597.0
2015-05-01 08:00:00,930.0
2015-05-01 09:00:00,918.0
2015-05-01 10:00:00,870.0
2015-05-01 11:00:00,1048.0
2015-05-01 12:00:00,1050.0
2015-05-01 13:00:00,975.0
2015-05-01 14:00:00,953.0
2015-05-01 15:00:00,778.0
2015-05-01 16:00:00,599.0
2015-05-01 17:00:00,686.0
2015-05-01 18:00:00,810.0
2015-05-01 19:00:00,1100.0
2015-05-01 20:00:00,1226.0
2015-05-01 21:00:00,1110.0
2015-05-01 22:00:00,1206.0
2015-05-01 23:00:00,1157.0
2015-05-02 00:00:00,1042.0
2015-05-02 01:00:00,847.0
2015-05-02 02:00:00,501.0
2015-05-02 03:00:00,372.0
2015-05-02 04:00:00,304.0
2015-05-02 05:00:00,174.0
2015-05-02 06:00:00,174.0
2015-05-02 07:00:00,215.0
2015-05-02 08:00:00,379.0
2015-05-02 09:00:00,541.0
2015-05-02 10:00:00,659.0
2015-05-02 11:00:00,926.0
2015-05-02 12:00:00,934.0
2015-05-02 13:00:00,919.0
2015-05-02 14:00:00,953.0
2015-05-02 15:00:00,936.0
2015-05-02 16:00:00,795.0
2015-05-02 17:00:00,878.0
2015-05-02 18:00:00,1081.0
2015-05-02 19:00:00,1161.0
2015-05-02 20:00:00,1079.0
2015-05-02 21:00:00,1016.0
2015-05-02 22:00:00,1202.0
2015-05-02 23:00:00,1044.0
2015-05-03 00:00:00,839.0
2015-05-03 01:00:00,818.0
2015-05-03 02:00:00,666.0
2015-05-03 03:00:00,531.0
2015-05-03 04:00:00,349.0
2015-05-03 05:00:00,183.0
2015-05-03 06:00:00,174.0
2015-05-03 07:00:00,186.0
2015-05-03 08:00:00,262.0
2015-05-03 09:00:00,351.0
2015-05-03 10:00:00,507.0
2015-05-03 11:00:00,714.0
2015-05-03 12:00:00,773.0
2015-05-03 13:00:00,828.0
2015-05-03 14:00:00,846.0
2015-05-03 15:00:00,760.0
2015-05-03 16:00:00,766.0
2015-05-03 17:00:00,871.0
2015-05-03 18:00:00,973.0
2015-05-03 19:00:00,873.0
2015-05-03 20:00:00,810.0
2015-05-03 21:00:00,646.0
2015-05-03 22:00:00,569.0
2015-05-03 23:00:00,542.0
2015-05-04 00:00:00,317.0
2015-05-04 01:00:00,193.0
2015-05-04 02:00:00,107.0
2015-05-04 03:00:00,75.0
2015-05-04 04:00:00,88.0
2015-05-04 05:00:00,130.0
2015-05-04 06:00:00,328.0
2015-05-04 07:00:00,604.0
2015-05-04 08:00:00,888.0
2015-05-04 09:00:00,975.0
2015-05-04 10:00:00,853.0
2015-05-04 11:00:00,936.0
2015-05-04 12:00:00,1034.0
2015-05-04 13:00:00,1062.0
2015-05-04 14:00:00,1066.0
2015-05-04 15:00:00,965.0
2015-05-04 16:00:00,773.0
2015-05-04 17:00:00,860.0
2015-05-04 18:00:00,1172.0
2015-05-04 19:00:00,1342.0
2015-05-04 20:00:00,1255.0
2015-05-04 21:00:00,1154.0
2015-05-04 22:00:00,1009.0
2015-05-04 23:00:00,735.0
2015-05-05 00:00:00,471.0
2015-05-05 01:00:00,271.0
2015-05-05 02:00:00,159.0
2015-05-05 03:00:00,65.0
2015-05-05 04:00:00,77.0
2015-05-05 05:00:00,116.0
2015-05-05 06:00:00,357.0
2015-05-05 07:00:00,671.0
2015-05-05 08:00:00,1002.0
2015-05-05 09:00:00,1092.0
2015-05-05 10:00:00,1045.0
2015-05-05 11:00:00,1152.0
2015-05-05 12:00:00,1124.0
2015-05-05 13:00:00,1130.0
2015-05-05 14:00:00,1153.0
2015-05-05 15:00:00,1008.0
2015-05-05 16:00:00,805.0
2015-05-05 17:00:00,825.0
2015-05-05 18:00:00,1059.0
2015-05-05 19:00:00,1116.0
2015-05-05 20:00:00,1351.0
2015-05-05 21:00:00,1185.0
2015-05-05 22:00:00,1060.0
2015-05-05 23:00:00,896.0
2015-05-06 00:00:00,595.0
2015-05-06 01:00:00,328.0
2015-05-06 02:00:00,191.0
2015-05-06 03:00:00,108.0
2015-05-06 04:00:00,97.0
2015-05-06 05:00:00,159.0
2015-05-06 06:00:00,395.0
2015-05-06 07:00:00,775.0
2015-05-06 08:00:00,1134.0
2015-05-06 09:00:00,1179.0
2015-05-06 10:00:00,1166.0
2015-05-06 11:00:00,1137.0
2015-05-06 12:00:00,1201.0
2015-05-06 13:00:00,1140.0
2015-05-06 14:00:00,1120.0
2015-05-06 15:00:00,925.0
2015-05-06 16:00:00,661.0
2015-05-06 17:00:00,741.0
2015-05-06 18:00:00,1069.0
2015-05-06 19:00:00,1365.0
2015-05-06 20:00:00,1438.0
2015-05-06 21:00:00,1258.0
2015-05-06 22:00:00,1149.0
2015-05-06 23:00:00,1078.0
2015-05-07 00:00:00,601.0
2015-05-07 01:00:00,345.0
2015-05-07 02:00:00,197.0
2015-05-07 03:00:00,120.0
2015-05-07 04:00:00,137.0
2015-05-07 05:00:00,179.0
2015-05-07 06:00:00,359.0
2015-05-07 07:00:00,757.0
2015-05-07 08:00:00,1113.0
2015-05-07 09:00:00,1112.0
2015-05-07 10:00:00,1156.0
2015-05-07 11:00:00,1125.0
2015-05-07 12:00:00,1191.0
2015-05-07 13:00:00,1075.0
2015-05-07 14:00:00,1060.0
2015-05-07 15:00:00,823.0
2015-05-07 16:00:00,645.0
2015-05-07 17:00:00,677.0
2015-05-07 18:00:00,1039.0
2015-05-07 19:00:00,1131.0
2015-05-07 20:00:00,1215.0
2015-05-07 21:00:00,1112.0
2015-05-07 22:00:00,906.0
2015-05-07 23:00:00,1140.0
