,1231
2016-03-01 00:00:00,389.0
2016-03-01 01:00:00,178.0
2016-03-01 02:00:00,128.0
2016-03-01 03:00:00,70.0
2016-03-01 04:00:00,65.0
2016-03-01 05:00:00,113.0
2016-03-01 06:00:00,291.0
2016-03-01 07:00:00,535.0
2016-03-01 08:00:00,805.0
2016-03-01 09:00:00,901.0
2016-03-01 10:00:00,841.0
2016-03-01 11:00:00,961.0
2016-03-01 12:00:00,966.0
2016-03-01 13:00:00,987.0
2016-03-01 14:00:00,1064.0
2016-03-01 15:00:00,981.0
2016-03-01 16:00:00,872.0
2016-03-01 17:00:00,960.0
2016-03-01 18:00:00,1210.0
2016-03-01 19:00:00,1394.0
2016-03-01 20:00:00,1388.0
2016-03-01 21:00:00,1355.0
2016-03-01 22:00:00,1083.0
2016-03-01 23:00:00,763.0
2016-03-02 00:00:00,491.0
2016-03-02 01:00:00,246.0
2016-03-02 02:00:00,186.0
2016-03-02 03:00:00,112.0
2016-03-02 04:00:00,75.0
2016-03-02 05:00:00,132.0
2016-03-02 06:00:00,337.0
2016-03-02 07:00:00,569.0
2016-03-02 08:00:00,843.0
2016-03-02 09:00:00,931.0
2016-03-02 10:00:00,852.0
2016-03-02 11:00:00,949.0
2016-03-02 12:00:00,1039.0
2016-03-02 13:00:00,1064.0
2016-03-02 14:00:00,1061.0
2016-03-02 15:00:00,1003.0
2016-03-02 16:00:00,810.0
2016-03-02 17:00:00,819.0
2016-03-02 18:00:00,1056.0
2016-03-02 19:00:00,1222.0
2016-03-02 20:00:00,1466.0
2016-03-02 21:00:00,1247.0
2016-03-02 22:00:00,1243.0
2016-03-02 23:00:00,858.0
2016-03-03 00:00:00,591.0
2016-03-03 01:00:00,269.0
2016-03-03 02:00:00,170.0
2016-03-03 03:00:00,106.0
2016-03-03 04:00:00,112.0
2016-03-03 05:00:00,125.0
2016-03-03 06:00:00,330.0
2016-03-03 07:00:00,577.0
2016-03-03 08:00:00,923.0
2016-03-03 09:00:00,1134.0
2016-03-03 10:00:00,1026.0
2016-03-03 11:00:00,1033.0
2016-03-03 12:00:00,1128.0
2016-03-03 13:00:00,1161.0
2016-03-03 14:00:00,1221.0
2016-03-03 15:00:00,1064.0
2016-03-03 16:00:00,734.0
2016-03-03 17:00:00,769.0
2016-03-03 18:00:00,1098.0
2016-03-03 19:00:00,958.0
2016-03-03 20:00:00,1242.0
2016-03-03 21:00:00,1193.0
2016-03-03 22:00:00,1027.0
2016-03-03 23:00:00,1077.0
2016-03-04 00:00:00,675.0
2016-03-04 01:00:00,376.0
2016-03-04 02:00:00,247.0
2016-03-04 03:00:00,132.0
2016-03-04 04:00:00,159.0
2016-03-04 05:00:00,152.0
2016-03-04 06:00:00,360.0
2016-03-04 07:00:00,568.0
2016-03-04 08:00:00,882.0
2016-03-04 09:00:00,968.0
2016-03-04 10:00:00,945.0
2016-03-04 11:00:00,918.0
2016-03-04 12:00:00,955.0
2016-03-04 13:00:00,1034.0
2016-03-04 14:00:00,1061.0
2016-03-04 15:00:00,904.0
2016-03-04 16:00:00,688.0
2016-03-04 17:00:00,805.0
2016-03-04 18:00:00,969.0
2016-03-04 19:00:00,1074.0
2016-03-04 20:00:00,1237.0
2016-03-04 21:00:00,1140.0
2016-03-04 22:00:00,1100.0
2016-03-04 23:00:00,1004.0
2016-03-05 00:00:00,835.0
2016-03-05 01:00:00,676.0
2016-03-05 02:00:00,362.0
2016-03-05 03:00:00,353.0
2016-03-05 04:00:00,272.0
2016-03-05 05:00:00,165.0
2016-03-05 06:00:00,157.0
2016-03-05 07:00:00,204.0
2016-03-05 08:00:00,324.0
2016-03-05 09:00:00,495.0
2016-03-05 10:00:00,670.0
2016-03-05 11:00:00,766.0
2016-03-05 12:00:00,948.0
2016-03-05 13:00:00,913.0
2016-03-05 14:00:00,910.0
2016-03-05 15:00:00,900.0
2016-03-05 16:00:00,763.0
2016-03-05 17:00:00,888.0
2016-03-05 18:00:00,1109.0
2016-03-05 19:00:00,1136.0
2016-03-05 20:00:00,921.0
2016-03-05 21:00:00,1113.0
2016-03-05 22:00:00,1174.0
2016-03-05 23:00:00,976.0
2016-03-06 00:00:00,820.0
2016-03-06 01:00:00,791.0
2016-03-06 02:00:00,508.0
2016-03-06 03:00:00,451.0
2016-03-06 04:00:00,382.0
2016-03-06 05:00:00,163.0
2016-03-06 06:00:00,143.0
2016-03-06 07:00:00,174.0
2016-03-06 08:00:00,328.0
2016-03-06 09:00:00,510.0
2016-03-06 10:00:00,689.0
2016-03-06 11:00:00,748.0
2016-03-06 12:00:00,748.0
2016-03-06 13:00:00,741.0
2016-03-06 14:00:00,715.0
2016-03-06 15:00:00,711.0
2016-03-06 16:00:00,753.0
2016-03-06 17:00:00,833.0
2016-03-06 18:00:00,873.0
2016-03-06 19:00:00,821.0
2016-03-06 20:00:00,685.0
2016-03-06 21:00:00,623.0
2016-03-06 22:00:00,510.0
2016-03-06 23:00:00,370.0
2016-03-07 00:00:00,251.0
2016-03-07 01:00:00,131.0
2016-03-07 02:00:00,87.0
2016-03-07 03:00:00,51.0
2016-03-07 04:00:00,52.0
2016-03-07 05:00:00,114.0
2016-03-07 06:00:00,282.0
2016-03-07 07:00:00,531.0
2016-03-07 08:00:00,869.0
2016-03-07 09:00:00,1114.0
2016-03-07 10:00:00,858.0
2016-03-07 11:00:00,876.0
2016-03-07 12:00:00,954.0
2016-03-07 13:00:00,908.0
2016-03-07 14:00:00,896.0
2016-03-07 15:00:00,910.0
2016-03-07 16:00:00,720.0
2016-03-07 17:00:00,985.0
2016-03-07 18:00:00,1339.0
2016-03-07 19:00:00,1279.0
2016-03-07 20:00:00,1290.0
2016-03-07 21:00:00,1129.0
2016-03-07 22:00:00,935.0
2016-03-07 23:00:00,586.0
2016-03-08 00:00:00,371.0
2016-03-08 01:00:00,228.0
2016-03-08 02:00:00,130.0
2016-03-08 03:00:00,71.0
2016-03-08 04:00:00,75.0
2016-03-08 05:00:00,113.0
2016-03-08 06:00:00,311.0
2016-03-08 07:00:00,541.0
2016-03-08 08:00:00,872.0
2016-03-08 09:00:00,968.0
2016-03-08 10:00:00,863.0
2016-03-08 11:00:00,953.0
2016-03-08 12:00:00,991.0
2016-03-08 13:00:00,1003.0
2016-03-08 14:00:00,1108.0
2016-03-08 15:00:00,988.0
2016-03-08 16:00:00,808.0
2016-03-08 17:00:00,875.0
2016-03-08 18:00:00,1220.0
2016-03-08 19:00:00,1335.0
2016-03-08 20:00:00,1454.0
2016-03-08 21:00:00,1420.0
2016-03-08 22:00:00,1201.0
2016-03-08 23:00:00,937.0
2016-03-09 00:00:00,481.0
2016-03-09 01:00:00,286.0
2016-03-09 02:00:00,157.0
2016-03-09 03:00:00,107.0
2016-03-09 04:00:00,76.0
2016-03-09 05:00:00,142.0
2016-03-09 06:00:00,316.0
2016-03-09 07:00:00,579.0
2016-03-09 08:00:00,884.0
