,1231
2015-07-01 00:00:00,638.0
2015-07-01 01:00:00,304.0
2015-07-01 02:00:00,169.0
2015-07-01 03:00:00,122.0
2015-07-01 04:00:00,136.0
2015-07-01 05:00:00,112.0
2015-07-01 06:00:00,339.0
2015-07-01 07:00:00,539.0
2015-07-01 08:00:00,777.0
2015-07-01 09:00:00,960.0
2015-07-01 10:00:00,972.0
2015-07-01 11:00:00,983.0
2015-07-01 12:00:00,1159.0
2015-07-01 13:00:00,1081.0
2015-07-01 14:00:00,1038.0
2015-07-01 15:00:00,916.0
2015-07-01 16:00:00,668.0
2015-07-01 17:00:00,709.0
2015-07-01 18:00:00,985.0
2015-07-01 19:00:00,1213.0
2015-07-01 20:00:00,1076.0
2015-07-01 21:00:00,1103.0
2015-07-01 22:00:00,1072.0
2015-07-01 23:00:00,1019.0
2015-07-02 00:00:00,680.0
2015-07-02 01:00:00,382.0
2015-07-02 02:00:00,206.0
2015-07-02 03:00:00,123.0
2015-07-02 04:00:00,113.0
2015-07-02 05:00:00,105.0
2015-07-02 06:00:00,272.0
2015-07-02 07:00:00,416.0
2015-07-02 08:00:00,637.0
2015-07-02 09:00:00,786.0
2015-07-02 10:00:00,749.0
2015-07-02 11:00:00,888.0
2015-07-02 12:00:00,974.0
2015-07-02 13:00:00,953.0
2015-07-02 14:00:00,910.0
2015-07-02 15:00:00,820.0
2015-07-02 16:00:00,671.0
2015-07-02 17:00:00,761.0
2015-07-02 18:00:00,1077.0
2015-07-02 19:00:00,1026.0
2015-07-02 20:00:00,1028.0
2015-07-02 21:00:00,915.0
2015-07-02 22:00:00,840.0
2015-07-02 23:00:00,809.0
2015-07-03 00:00:00,708.0
2015-07-03 01:00:00,546.0
2015-07-03 02:00:00,366.0
2015-07-03 03:00:00,250.0
2015-07-03 04:00:00,192.0
2015-07-03 05:00:00,126.0
2015-07-03 06:00:00,165.0
2015-07-03 07:00:00,209.0
2015-07-03 08:00:00,242.0
2015-07-03 09:00:00,381.0
2015-07-03 10:00:00,535.0
2015-07-03 11:00:00,597.0
2015-07-03 12:00:00,652.0
2015-07-03 13:00:00,706.0
2015-07-03 14:00:00,771.0
2015-07-03 15:00:00,730.0
2015-07-03 16:00:00,721.0
2015-07-03 17:00:00,722.0
2015-07-03 18:00:00,757.0
2015-07-03 19:00:00,827.0
2015-07-03 20:00:00,678.0
2015-07-03 21:00:00,645.0
2015-07-03 22:00:00,778.0
2015-07-03 23:00:00,815.0
2015-07-04 00:00:00,716.0
2015-07-04 01:00:00,561.0
2015-07-04 02:00:00,388.0
2015-07-04 03:00:00,309.0
