,1231
2015-04-01 00:00:00,584.0
2015-04-01 01:00:00,358.0
2015-04-01 02:00:00,196.0
2015-04-01 03:00:00,115.0
2015-04-01 04:00:00,118.0
2015-04-01 05:00:00,174.0
2015-04-01 06:00:00,380.0
2015-04-01 07:00:00,677.0
2015-04-01 08:00:00,1073.0
2015-04-01 09:00:00,1230.0
2015-04-01 10:00:00,1130.0
2015-04-01 11:00:00,1132.0
2015-04-01 12:00:00,1191.0
2015-04-01 13:00:00,1168.0
2015-04-01 14:00:00,1174.0
2015-04-01 15:00:00,1011.0
2015-04-01 16:00:00,691.0
2015-04-01 17:00:00,760.0
2015-04-01 18:00:00,1061.0
2015-04-01 19:00:00,1150.0
2015-04-01 20:00:00,1333.0
2015-04-01 21:00:00,1330.0
2015-04-01 22:00:00,1011.0
2015-04-01 23:00:00,1021.0
2015-04-02 00:00:00,682.0
2015-04-02 01:00:00,368.0
2015-04-02 02:00:00,224.0
2015-04-02 03:00:00,158.0
2015-04-02 04:00:00,131.0
2015-04-02 05:00:00,146.0
2015-04-02 06:00:00,344.0
2015-04-02 07:00:00,638.0
2015-04-02 08:00:00,1031.0
2015-04-02 09:00:00,1075.0
2015-04-02 10:00:00,1036.0
2015-04-02 11:00:00,1208.0
2015-04-02 12:00:00,1202.0
2015-04-02 13:00:00,1124.0
2015-04-02 14:00:00,1125.0
2015-04-02 15:00:00,897.0
2015-04-02 16:00:00,631.0
2015-04-02 17:00:00,650.0
2015-04-02 18:00:00,1003.0
2015-04-02 19:00:00,1047.0
2015-04-02 20:00:00,944.0
2015-04-02 21:00:00,1057.0
2015-04-02 22:00:00,998.0
2015-04-02 23:00:00,1126.0
2015-04-03 00:00:00,911.0
2015-04-03 01:00:00,612.0
2015-04-03 02:00:00,403.0
2015-04-03 03:00:00,307.0
2015-04-03 04:00:00,225.0
2015-04-03 05:00:00,156.0
2015-04-03 06:00:00,234.0
2015-04-03 07:00:00,376.0
2015-04-03 08:00:00,624.0
2015-04-03 09:00:00,839.0
2015-04-03 10:00:00,1030.0
2015-04-03 11:00:00,1009.0
2015-04-03 12:00:00,1114.0
2015-04-03 13:00:00,920.0
2015-04-03 14:00:00,970.0
2015-04-03 15:00:00,925.0
2015-04-03 16:00:00,703.0
2015-04-03 17:00:00,866.0
2015-04-03 18:00:00,1180.0
2015-04-03 19:00:00,1157.0
2015-04-03 20:00:00,948.0
2015-04-03 21:00:00,910.0
2015-04-03 22:00:00,1068.0
2015-04-03 23:00:00,1097.0
2015-04-04 00:00:00,900.0
2015-04-04 01:00:00,738.0
2015-04-04 02:00:00,522.0
2015-04-04 03:00:00,463.0
2015-04-04 04:00:00,319.0
2015-04-04 05:00:00,167.0
2015-04-04 06:00:00,179.0
2015-04-04 07:00:00,224.0
2015-04-04 08:00:00,309.0
2015-04-04 09:00:00,530.0
2015-04-04 10:00:00,787.0
2015-04-04 11:00:00,878.0
2015-04-04 12:00:00,894.0
2015-04-04 13:00:00,941.0
2015-04-04 14:00:00,862.0
2015-04-04 15:00:00,914.0
2015-04-04 16:00:00,874.0
2015-04-04 17:00:00,971.0
2015-04-04 18:00:00,1075.0
2015-04-04 19:00:00,1138.0
2015-04-04 20:00:00,957.0
2015-04-04 21:00:00,1006.0
2015-04-04 22:00:00,1071.0
2015-04-04 23:00:00,1046.0
2015-04-05 00:00:00,894.0
2015-04-05 01:00:00,732.0
2015-04-05 02:00:00,501.0
2015-04-05 03:00:00,473.0
2015-04-05 04:00:00,339.0
2015-04-05 05:00:00,182.0
2015-04-05 06:00:00,152.0
2015-04-05 07:00:00,175.0
2015-04-05 08:00:00,261.0
2015-04-05 09:00:00,437.0
2015-04-05 10:00:00,612.0
2015-04-05 11:00:00,732.0
2015-04-05 12:00:00,801.0
2015-04-05 13:00:00,785.0
2015-04-05 14:00:00,805.0
2015-04-05 15:00:00,750.0
2015-04-05 16:00:00,744.0
2015-04-05 17:00:00,859.0
2015-04-05 18:00:00,980.0
2015-04-05 19:00:00,847.0
2015-04-05 20:00:00,963.0
2015-04-05 21:00:00,990.0
2015-04-05 22:00:00,812.0
2015-04-05 23:00:00,445.0
2015-04-06 00:00:00,310.0
2015-04-06 01:00:00,160.0
2015-04-06 02:00:00,85.0
2015-04-06 03:00:00,58.0
2015-04-06 04:00:00,59.0
2015-04-06 05:00:00,102.0
2015-04-06 06:00:00,306.0
2015-04-06 07:00:00,502.0
2015-04-06 08:00:00,847.0
2015-04-06 09:00:00,1002.0
2015-04-06 10:00:00,900.0
2015-04-06 11:00:00,1037.0
2015-04-06 12:00:00,1086.0
2015-04-06 13:00:00,1048.0
2015-04-06 14:00:00,1004.0
2015-04-06 15:00:00,1022.0
2015-04-06 16:00:00,878.0
2015-04-06 17:00:00,1024.0
2015-04-06 18:00:00,1285.0
2015-04-06 19:00:00,1316.0
2015-04-06 20:00:00,1284.0
2015-04-06 21:00:00,1169.0
2015-04-06 22:00:00,1019.0
2015-04-06 23:00:00,794.0
2015-04-07 00:00:00,468.0
2015-04-07 01:00:00,267.0
2015-04-07 02:00:00,163.0
2015-04-07 03:00:00,100.0
2015-04-07 04:00:00,80.0
2015-04-07 05:00:00,134.0
2015-04-07 06:00:00,312.0
2015-04-07 07:00:00,640.0
2015-04-07 08:00:00,921.0
2015-04-07 09:00:00,1029.0
2015-04-07 10:00:00,1028.0
2015-04-07 11:00:00,1101.0
2015-04-07 12:00:00,1144.0
2015-04-07 13:00:00,1205.0
2015-04-07 14:00:00,1189.0
2015-04-07 15:00:00,1046.0
2015-04-07 16:00:00,850.0
2015-04-07 17:00:00,912.0
2015-04-07 18:00:00,1207.0
2015-04-07 19:00:00,1129.0
2015-04-07 20:00:00,1378.0
2015-04-07 21:00:00,1381.0
2015-04-07 22:00:00,1211.0
2015-04-07 23:00:00,808.0
2015-04-08 00:00:00,521.0
2015-04-08 01:00:00,294.0
2015-04-08 02:00:00,161.0
2015-04-08 03:00:00,110.0
2015-04-08 04:00:00,89.0
2015-04-08 05:00:00,116.0
2015-04-08 06:00:00,318.0
2015-04-08 07:00:00,582.0
2015-04-08 08:00:00,975.0
2015-04-08 09:00:00,1145.0
2015-04-08 10:00:00,1136.0
2015-04-08 11:00:00,1139.0
2015-04-08 12:00:00,1236.0
2015-04-08 13:00:00,1258.0
2015-04-08 14:00:00,1229.0
2015-04-08 15:00:00,1079.0
