,1231
2015-06-01 00:00:00,231.0
2015-06-01 01:00:00,151.0
2015-06-01 02:00:00,90.0
2015-06-01 03:00:00,77.0
2015-06-01 04:00:00,75.0
2015-06-01 05:00:00,152.0
2015-06-01 06:00:00,390.0
2015-06-01 07:00:00,622.0
2015-06-01 08:00:00,877.0
2015-06-01 09:00:00,935.0
2015-06-01 10:00:00,816.0
2015-06-01 11:00:00,877.0
2015-06-01 12:00:00,904.0
2015-06-01 13:00:00,849.0
2015-06-01 14:00:00,901.0
2015-06-01 15:00:00,781.0
2015-06-01 16:00:00,640.0
2015-06-01 17:00:00,758.0
2015-06-01 18:00:00,844.0
2015-06-01 19:00:00,991.0
2015-06-01 20:00:00,990.0
2015-06-01 21:00:00,896.0
2015-06-01 22:00:00,960.0
2015-06-01 23:00:00,672.0
2015-06-02 00:00:00,424.0
2015-06-02 01:00:00,232.0
2015-06-02 02:00:00,147.0
2015-06-02 03:00:00,79.0
2015-06-02 04:00:00,74.0
2015-06-02 05:00:00,143.0
2015-06-02 06:00:00,400.0
2015-06-02 07:00:00,757.0
2015-06-02 08:00:00,976.0
2015-06-02 09:00:00,980.0
2015-06-02 10:00:00,850.0
2015-06-02 11:00:00,977.0
2015-06-02 12:00:00,1043.0
2015-06-02 13:00:00,1019.0
2015-06-02 14:00:00,1090.0
2015-06-02 15:00:00,850.0
2015-06-02 16:00:00,617.0
2015-06-02 17:00:00,709.0
2015-06-02 18:00:00,896.0
2015-06-02 19:00:00,969.0
2015-06-02 20:00:00,1059.0
2015-06-02 21:00:00,991.0
2015-06-02 22:00:00,963.0
2015-06-02 23:00:00,760.0
2015-06-03 00:00:00,494.0
2015-06-03 01:00:00,268.0
2015-06-03 02:00:00,182.0
2015-06-03 03:00:00,90.0
2015-06-03 04:00:00,115.0
2015-06-03 05:00:00,131.0
2015-06-03 06:00:00,354.0
2015-06-03 07:00:00,664.0
2015-06-03 08:00:00,999.0
2015-06-03 09:00:00,1008.0
2015-06-03 10:00:00,948.0
2015-06-03 11:00:00,1086.0
2015-06-03 12:00:00,1109.0
2015-06-03 13:00:00,1077.0
2015-06-03 14:00:00,1035.0
2015-06-03 15:00:00,975.0
2015-06-03 16:00:00,614.0
